Dewpoint,HourlyPrecipIn,Humidity,Pressure,SolarRadiationWatts/m^2,Temperature,deviceTime_unix,WindDirectionDegrees,WindSpeedGustMPH,WindSpeedMPH,dailyrainin
13.277777777777777,0.0,67.0,1003.38300139,17.32,19.61111111111111,1528858193,166.0,0.0,0.0,0.0
13.388888888888891,0.0,68.0,1003.38300139,15.84,19.388888888888893,1528858497,127.0,0.0,0.0,0.0
13.277777777777777,0.0,69.0,1003.38300139,12.4,19.111111111111114,1528858785,123.0,0.0,0.0,0.0
13.0,0.0,69.0,1003.38300139,10.48,18.77777777777778,1528859089,163.0,0.0,0.0,0.0
12.777777777777779,0.0,69.0,1003.38300139,8.5,18.61111111111111,1528859393,176.0,0.0,0.0,0.0
12.777777777777779,0.0,70.0,1003.0443638600001,6.33,18.277777777777782,1528859697,109.0,0.0,0.0,0.0
12.611111111111112,0.0,70.0,1003.38300139,4.83,18.111111111111107,1528859985,154.0,0.0,0.0,0.0
12.611111111111112,0.0,71.0,1003.38300139,2.7,17.888888888888893,1528860289,142.0,0.0,0.0,0.0
12.611111111111112,0.0,72.0,1003.38300139,0.89,17.72222222222222,1528860593,147.0,0.0,0.0,0.0
12.388888888888888,0.0,72.0,1003.38300139,0.0,17.5,1528860897,135.0,0.0,0.0,0.0
12.388888888888888,0.0,73.0,1003.38300139,0.0,17.27777777777778,1528861185,135.0,0.0,0.0,0.0
12.222222222222223,0.0,73.0,1003.38300139,0.0,17.11111111111111,1528861489,159.0,0.0,0.0,0.0
12.277777777777779,0.0,74.0,1003.38300139,0.0,16.88888888888889,1528861793,103.0,0.0,0.0,0.0
12.277777777777779,0.0,75.0,1003.0443638600001,0.0,16.722222222222225,1528862097,103.0,0.0,0.0,0.0
12.277777777777779,0.0,76.0,1003.0443638600001,0.0,16.500000000000004,1528862385,103.0,0.0,0.0,0.0
12.11111111111111,0.0,76.0,1003.0443638600001,0.0,16.27777777777778,1528862689,102.0,0.0,0.0,0.0
12.222222222222223,0.0,77.0,1003.38300139,0.0,16.222222222222225,1528862993,101.0,0.0,0.0,0.0
12.277777777777779,0.0,78.0,1003.38300139,0.0,16.11111111111111,1528863297,101.0,0.0,0.0,0.0
12.11111111111111,0.0,78.0,1003.38300139,0.0,15.888888888888891,1528863585,101.0,0.0,0.0,0.0
12.222222222222223,0.0,79.0,1003.38300139,0.0,15.777777777777779,1528863889,101.0,0.0,0.0,0.0
12.277777777777779,0.0,80.0,1003.38300139,0.0,15.722222222222221,1528864193,101.0,0.0,0.0,0.0
12.222222222222223,0.0,80.0,1003.38300139,0.0,15.611111111111112,1528864497,101.0,0.0,0.0,0.0
12.277777777777779,0.0,81.0,1003.38300139,0.0,15.5,1528864785,101.0,0.0,0.0,0.0
12.5,0.0,82.0,1003.7216389200001,0.0,15.5,1528865089,101.0,0.0,0.0,0.0
12.5,0.0,83.0,1003.7216389200001,0.0,15.388888888888891,1528865393,101.0,0.0,0.0,0.0
12.388888888888888,0.0,83.0,1003.7216389200001,0.0,15.277777777777779,1528865697,101.0,0.0,0.0,0.0
12.388888888888888,0.0,83.0,1003.7216389200001,0.0,15.222222222222221,1528865985,101.0,0.0,0.0,0.0
12.388888888888888,0.0,84.0,1004.0602764500001,0.0,15.111111111111112,1528866289,101.0,0.0,0.0,0.0
12.277777777777779,0.0,84.0,1003.7216389200001,0.0,15.0,1528866593,101.0,0.0,0.0,0.0
12.5,0.0,85.0,1003.7216389200001,0.0,15.0,1528866897,102.0,0.0,0.0,0.0
12.5,0.0,85.0,1003.7216389200001,0.0,15.0,1528867185,116.0,0.0,0.0,0.0
12.222222222222223,0.0,84.0,1004.0602764500001,0.0,14.888888888888888,1528867489,102.0,2.5,0.2,0.0
12.11111111111111,0.0,83.0,1004.0602764500001,0.0,14.888888888888888,1528867793,117.0,0.0,0.0,0.0
11.500000000000002,0.0,80.0,1004.0602764500001,0.0,14.888888888888888,1528868097,114.0,2.5,1.8,0.0
11.222222222222225,0.0,78.0,1004.0602764500001,0.0,15.0,1528868385,84.0,2.5,0.9,0.0
11.222222222222225,0.0,78.0,1004.0602764500001,0.0,15.0,1528868689,92.0,0.0,0.0,0.0
11.222222222222225,0.0,78.0,1004.0602764500001,0.0,15.0,1528868993,103.0,4.9,2.9,0.0
11.11111111111111,0.0,77.0,1004.0602764500001,0.0,15.111111111111112,1528869297,106.0,0.0,0.0,0.0
11.11111111111111,0.0,77.0,1004.0602764500001,0.0,15.111111111111112,1528869585,79.0,0.0,0.0,0.0
11.11111111111111,0.0,77.0,1003.7216389200001,0.0,15.111111111111112,1528869889,86.0,2.5,0.2,0.0
10.999999999999998,0.0,77.0,1004.0602764500001,0.0,15.0,1528870193,106.0,0.0,0.0,0.0
