unix_time,value
1447986433.0,nan
1448418433.0,nan
1448850433.0,nan
1449282433.0,nan
1449714433.0,nan
1450146433.0,nan
1450578433.0,nan
1451010433.0,nan
1451442433.0,nan
1451874433.0,nan
1452306433.0,nan
1452738433.0,nan
1453170433.0,nan
1453602433.0,nan
1454034433.0,nan
1454466433.0,nan
1454898433.0,nan
1455330433.0,nan
1455762433.0,nan
1456194433.0,nan
1456626433.0,nan
1457058433.0,nan
1457490433.0,nan
1457922433.0,nan
1458354433.0,nan
1458786433.0,nan
1459218433.0,nan
1459650433.0,nan
1460082433.0,nan
1460514433.0,nan
1460946433.0,nan
1461378433.0,nan
1461810433.0,nan
1462242433.0,nan
1462674433.0,nan
1463106433.0,nan
1463538433.0,nan
1463970433.0,nan
1464402433.0,nan
1464834433.0,nan
1465266433.0,nan
1465698433.0,nan
1466130433.0,nan
1466562433.0,nan
1466994433.0,nan
1467426433.0,nan
1467858433.0,nan
1468290433.0,nan
1468722433.0,nan
1469154433.0,nan
1469586433.0,nan
1470018433.0,nan
1470450433.0,nan
1470882433.0,nan
1471314433.0,nan
1471746433.0,nan
1472178433.0,nan
1472610433.0,nan
1473042433.0,nan
1473474433.0,nan
1473906433.0,nan
1474338433.0,nan
1474770433.0,nan
1475202433.0,nan
1475634433.0,nan
1476066433.0,nan
1476498433.0,nan
1476930433.0,nan
1477362433.0,nan
1477794433.0,nan
1478226433.0,nan
1478658433.0,nan
1479090433.0,nan
1479522433.0,nan
1479954433.0,nan
1480386433.0,nan
1480818433.0,nan
1481250433.0,nan
1481682433.0,nan
1482114433.0,nan
1482546433.0,nan
1482978433.0,nan
1483410433.0,nan
1483842433.0,nan
1484274433.0,nan
1484706433.0,nan
1485138433.0,nan
1485570433.0,nan
1486002433.0,nan
1486434433.0,nan
1486866433.0,nan
1487298433.0,nan
1487730433.0,nan
1488162433.0,nan
1488594433.0,nan
1489026433.0,nan
1489458433.0,nan
1489890433.0,nan
1490322433.0,nan
1490754433.0,nan
1491186433.0,nan
1491618433.0,nan
1492050433.0,nan
1492482433.0,nan
1492914433.0,nan
1493346433.0,nan
1493778433.0,nan
1494210433.0,nan
1494642433.0,nan
1495074433.0,nan
1495506433.0,nan
1495938433.0,nan
1496370433.0,nan
1496802433.0,nan
1497234433.0,nan
1497666433.0,nan
1498098433.0,nan
1498530433.0,nan
1498962433.0,nan
1499394433.0,nan
1499826433.0,nan
1500258433.0,nan
1500690433.0,nan
1501122433.0,nan
1501554433.0,nan
1501986433.0,nan
1502418433.0,nan
1502850433.0,nan
1503282433.0,nan
1503714433.0,nan
1504146433.0,nan
1504578433.0,nan
1505010433.0,nan
1505442433.0,nan
1505874433.0,nan
1506306433.0,nan
1506738433.0,nan
1507170433.0,nan
1507602433.0,nan
1508034433.0,nan
1508466433.0,nan
1508898433.0,nan
1509330433.0,nan
1509762433.0,nan
1510194433.0,nan
1510626433.0,41.190966057441265
1511058433.0,58.004094975911926
1511490433.0,60.416391184573136
1511922433.0,53.14325501036636
1512354433.0,30.093794765840187
1512786433.0,37.68565907522421
1513218433.0,35.723196664350276
1513650433.0,42.32008818342157
1514082433.0,51.069958193979886
1514514433.0,56.86360627177704
1514946433.0,63.38720930232557
1515378433.0,70.19063063063057
1515810433.0,64.15515592515585
1516242433.0,59.52653712699531
1516674433.0,60.346255201109464
1517106433.0,52.3481761442441
1517538433.0,43.52849722991692
1517970433.0,38.495682605682646
1518402433.0,37.299446366782064
1518834433.0,42.59076710435381
1519266433.0,45.58267820069197
1519698433.0,52.69580511402901
1520130433.0,45.15858704137395
1520562433.0,65.2916736111112
1520994433.0,58.24524752475248
1521426433.0,67.14720779220775
1521858433.0,54.635473025801375
1522290433.0,50.299037396121854
1522722433.0,63.61884882108191
1523154433.0,63.708270833333394
1523586433.0,52.64646173149302
1524018433.0,52.638835286009616
1524450433.0,57.21669444444439
1524882433.0,56.06297916666661
1525314433.0,57.7761362056984
1525746433.0,54.66613037447975
1526178433.0,58.30103400416379
1526610433.0,59.81980463980467
1527042433.0,62.31463245492365
1527474433.0,54.886228373702416
1527906433.0,51.73325694444449
1528338433.0,52.632084884586746
1528770433.0,53.95178787878787
1529202433.0,60.61955980066455
