unix_time,value
1447986433.0,nan
1448461633.0,nan
1448936833.0,nan
1449412033.0,nan
1449887233.0,nan
1450362433.0,nan
1450837633.0,nan
1451312833.0,nan
1451788033.0,nan
1452263233.0,nan
1452738433.0,nan
1453213633.0,nan
1453688833.0,nan
1454164033.0,nan
1454639233.0,nan
1455114433.0,nan
1455589633.0,nan
1456064833.0,nan
1456540033.0,nan
1457015233.0,nan
1457490433.0,nan
1457965633.0,nan
1458440833.0,nan
1458916033.0,nan
1459391233.0,nan
1459866433.0,nan
1460341633.0,nan
1460816833.0,nan
1461292033.0,nan
1461767233.0,nan
1462242433.0,nan
1462717633.0,nan
1463192833.0,nan
1463668033.0,nan
1464143233.0,nan
1464618433.0,nan
1465093633.0,nan
1465568833.0,nan
1466044033.0,nan
1466519233.0,nan
1466994433.0,nan
1467469633.0,nan
1467944833.0,nan
1468420033.0,nan
1468895233.0,nan
1469370433.0,nan
1469845633.0,nan
1470320833.0,nan
1470796033.0,nan
1471271233.0,nan
1471746433.0,nan
1472221633.0,nan
1472696833.0,nan
1473172033.0,nan
1473647233.0,nan
1474122433.0,nan
1474597633.0,nan
1475072833.0,nan
1475548033.0,nan
1476023233.0,nan
1476498433.0,nan
1476973633.0,nan
1477448833.0,nan
1477924033.0,nan
1478399233.0,nan
1478874433.0,nan
1479349633.0,nan
1479824833.0,nan
1480300033.0,nan
1480775233.0,nan
1481250433.0,nan
1481725633.0,nan
1482200833.0,nan
1482676033.0,nan
1483151233.0,nan
1483626433.0,nan
1484101633.0,nan
1484576833.0,nan
1485052033.0,nan
1485527233.0,nan
1486002433.0,nan
1486477633.0,nan
1486952833.0,nan
1487428033.0,nan
1487903233.0,nan
1488378433.0,nan
1488853633.0,nan
1489328833.0,2148.0982248520722
1489804033.0,2172.8911627906973
1490279233.0,2171.7428571428563
1490754433.0,2137.9818681318684
1491229633.0,2183.9928847641145
1491704833.0,2206.865685515102
1492180033.0,2207.0959183673463
1492655233.0,2203.8521978021968
1493130433.0,2209.0013071895437
1493605633.0,2211.4420441347293
1494080833.0,2211.8852830188666
1494556033.0,2224.2256983240227
1495031233.0,2248.2700000000004
1495506433.0,2234.265297741276
1495981633.0,2216.6045627376398
1496456833.0,2214.8394653087216
1496932033.0,2215.8303571428573
1497407233.0,2216.953459119498
1497882433.0,2217.635697940505
1498357633.0,2212.07949206349
1498832833.0,2212.942185514614
1499308033.0,2217.046841097639
1499783233.0,2215.984595798854
1500258433.0,2215.633799237609
1500733633.0,2219.1927710843397
1501208833.0,2216.0785307156416
1501684033.0,2197.2116382036666
1502159233.0,2195.9865652724957
1502634433.0,2193.9147936507898
1503109633.0,2195.5800759013314
1503584833.0,2200.874918988978
1504060033.0,2200.1054545454544
1504535233.0,nan
1505010433.0,nan
1505485633.0,nan
1505960833.0,nan
1506436033.0,nan
1506911233.0,nan
1507386433.0,nan
1507861633.0,nan
1508336833.0,nan
1508812033.0,nan
1509287233.0,nan
1509762433.0,nan
1510237633.0,nan
1510712833.0,2312.2818070818057
1511188033.0,2319.477735849054
1511663233.0,2311.40263653484
1512138433.0,2307.453249211352
1512613633.0,2303.065660377358
1513088833.0,2304.171482176359
1513564033.0,2295.2430807764526
1514039233.0,2304.4141324921143
1514514433.0,2307.562138364782
1514989633.0,2299.1227101631125
1515464833.0,3073.7515566625143
1515940033.0,2474.383405039949
1516415233.0,2292.402935779811
1516890433.0,2292.809659442726
1517365633.0,2298.8351715686276
1517840833.0,2298.4060344827553
1518316033.0,2292.937834549879
1518791233.0,2292.5286322188454
1519266433.0,2291.1073424301494
1519741633.0,2289.647467608951
1520216833.0,2293.527718040622
1520692033.0,2291.89957395009
1521167233.0,2462.566386554624
1521642433.0,2391.43333333333
1522117633.0,2283.300705218618
1522592833.0,2281.7579080025203
1523068033.0,2274.345271122321
1523543233.0,2278.625738396623
1524018433.0,2277.803522012581
1524493633.0,2275.141829652995
1524968833.0,2276.4934933670215
1525444033.0,2276.6469696969657
1525919233.0,2276.9398989898964
1526394433.0,2274.9087500000005
1526869633.0,2275.5258934169274
1527344833.0,2279.972274732195
1527820033.0,2279.3288860918856
1528295233.0,2277.879812206574
1528770433.0,2279.284337349393
1529245633.0,2206.855901426721
