unix_time,value
1447986433.0,2.5767182662538723
1449152833.0,2.5475823045267485
1450319233.0,2.5324045407636793
1451485633.0,2.566193548387099
1452652033.0,2.5742857142857205
1453818433.0,2.559277419354834
1454984833.0,2.5686740759886257
1456151233.0,2.5566794558772146
1457317633.0,2.5793926810277754
1458484033.0,2.6527376033057855
1459650433.0,2.5778095510437558
1460816833.0,2.6291612903225836
1461983233.0,2.569111570247931
1463149633.0,2.590864516129031
1464316033.0,2.856855151045702
1465482433.0,2.9102451612903146
1466648833.0,2.8068042387060803
1467815233.0,2.6880550343965006
1468981633.0,2.701239669421481
1470148033.0,2.713858064516135
1471314433.0,2.7001032524522426
1472480833.0,2.6728774193548386
1473647233.0,2.6282561894510175
1474813633.0,2.6431266846361186
1475980033.0,2.642798141455856
1477146433.0,2.637377387712954
1478312833.0,2.6386680433660272
1479479233.0,2.631329032258062
1480645633.0,2.653897780072275
1481812033.0,2.6309389292440186
1482978433.0,2.641516138584541
1484144833.0,2.663531266421438
1485311233.0,2.6381841763942924
1486477633.0,2.632464516129033
1487644033.0,2.635251798561153
1488810433.0,2.684688871675703
1489976833.0,2.687299948373772
1491143233.0,2.826580645161288
1492309633.0,2.8260196179659305
1493476033.0,2.8407639117550225
1494642433.0,3.011054637865315
1495808833.0,2.7590087764584412
1496975233.0,2.785934819897084
1498141633.0,nan
1499308033.0,nan
1500474433.0,nan
1501640833.0,nan
1502807233.0,nan
1503973633.0,nan
1505140033.0,nan
1506306433.0,nan
1507472833.0,nan
1508639233.0,4.0
1509805633.0,2.708510638297872
1510972033.0,2.6255469889560334
1512138433.0,2.6413227130098917
1513304833.0,2.628432873915262
1514471233.0,2.812161115414418
1515637633.0,2.9966646813579554
1516804033.0,2.6324336283185894
1517970433.0,2.6405386579986097
1519136833.0,2.622479423868309
1520303233.0,2.637189126662818
1521469633.0,2.698406988694763
1522636033.0,2.625141495382785
1523802433.0,2.6405277044854993
1524968833.0,2.6054012345679003
1526135233.0,2.6271393643031806
1527301633.0,2.632365784741842
1528468033.0,2.6275288435739212
