unix_time,value
1447986433.0,2.5996805111821093
1448548033.0,2.5581243184296563
1449109633.0,2.566666666666667
1449671233.0,2.530128205128207
1450232833.0,2.5306623931623906
1450794433.0,2.532585470085472
1451356033.0,2.545229110512126
1451917633.0,2.583386923901396
1452479233.0,2.579410187667559
1453040833.0,2.561129207383283
1453602433.0,2.562252010723865
1454164033.0,2.5693461950696705
1454725633.0,2.570402144772122
1455287233.0,2.5762057877813525
1455848833.0,2.535608646188847
1456410433.0,2.5590643274853786
1456972033.0,2.576653696498051
1457533633.0,2.5599142550911016
1458095233.0,2.61540965816603
1458656833.0,2.659699892818863
1459218433.0,2.639076757917339
1459780033.0,2.5833445265278705
1460341633.0,2.617908847184976
1460903233.0,2.6497320471597035
1461464833.0,2.5670777479892726
1462026433.0,2.5948553054662375
1462588033.0,2.5418142780461674
1463149633.0,2.5859592711682753
1463711233.0,2.5939946380697085
1464272833.0,2.768793565683643
1464834433.0,2.9219302949061645
1465396033.0,2.923151125401925
1465957633.0,2.889973190348526
1466519233.0,2.8866023579849935
1467080833.0,2.7836398224476846
1467642433.0,2.6845659163987157
1468204033.0,2.700110864745006
1468765633.0,2.706325060048039
1469327233.0,2.7002145922746816
1469888833.0,2.7006430868167235
1470450433.0,2.7345844504021444
1471012033.0,2.678242229367632
1471573633.0,2.7009115281501335
1472135233.0,2.7090032154340835
1472696833.0,2.6811796246648885
1473258433.0,2.6445873526259365
1473820033.0,2.6357104557640714
1474381633.0,2.6090837901331256
1474943233.0,nan
1475504833.0,2.6465045592705168
1476066433.0,2.650294906166225
1476628033.0,2.633226152197214
1477189633.0,2.6230686695278984
1477751233.0,2.6520900321543444
1478312833.0,2.64396782841823
1478874433.0,2.6301178992497367
1479436033.0,2.6387131367292227
1479997633.0,2.6300107181136196
1480559233.0,2.6575871313672876
1481120833.0,2.642336548767417
1481682433.0,2.6149061662198356
1482244033.0,2.64978540772532
1482805633.0,2.646164109406271
1483367233.0,2.64179860671311
1483928833.0,2.6571581769437014
1484490433.0,2.681023928770171
1485052033.0,2.629705093833785
1485613633.0,2.6570655116404964
1486175233.0,2.604396782841823
1486736833.0,2.624973204715965
1487298433.0,2.646219839142092
1487860033.0,2.6639871382636615
1488421633.0,2.6314018691588754
1488983233.0,2.6470525187566962
1489544833.0,2.714439076757918
1490106433.0,2.684565916398712
1490668033.0,2.720107238605899
1491229633.0,2.8415862808145773
1491791233.0,2.7986058981233297
1492352833.0,2.829796355841372
1492914433.0,2.8316353887399446
1493476033.0,2.8381564844587346
1494037633.0,2.844918872758327
1494599233.0,2.9325946445059983
1495160833.0,3.0782227098189825
1495722433.0,2.7861614497528824
1496284033.0,2.7388739946380674
1496845633.0,2.7852846401718563
1497407233.0,2.789905362776025
1497968833.0,nan
1498530433.0,nan
1499092033.0,nan
1499653633.0,nan
1500215233.0,nan
1500776833.0,nan
1501338433.0,nan
1501900033.0,nan
1502461633.0,nan
1503023233.0,nan
1503584833.0,nan
1504146433.0,nan
1504708033.0,nan
1505269633.0,nan
1505831233.0,nan
1506392833.0,nan
1506954433.0,nan
1507516033.0,nan
1508077633.0,nan
1508639233.0,nan
1509200833.0,4.0
1509762433.0,nan
1510324033.0,nan
1510885633.0,2.6352318958502905
1511447233.0,2.6250726040658274
1512008833.0,2.628185907046477
1512570433.0,2.6312561819980207
1513132033.0,2.661717921527042
1513693633.0,2.604475226425152
1514255233.0,2.6423890063424946
1514816833.0,2.628795811518332
1515378433.0,3.279377013963477
1515940033.0,2.8174650698602757
1516501633.0,2.6117400419287167
1517063233.0,2.641516086381669
1517624833.0,2.651146689744701
1518186433.0,2.6368038740920086
1518748033.0,2.62003196590304
1519309633.0,2.6186467767714454
1519871233.0,2.6381256656016996
1520432833.0,2.6293176972281427
1520994433.0,2.675261324041811
1521556033.0,2.7432251416795475
1522117633.0,2.6263479710950506
1522679233.0,2.6239060832443983
1523240833.0,2.6304705003734137
1523802433.0,2.646899661781293
1524364033.0,2.6362179487179422
1524925633.0,2.604594017094021
1525487233.0,2.6020299145299144
1526048833.0,2.6304324612920444
1526610433.0,2.6213716108452902
1527172033.0,2.6616533333333354
1527733633.0,2.6190933333333306
1528295233.0,2.6347144456886884
1528856833.0,2.631861375069872
1529418433.0,2.5736329588015003
